iter	Logloss
0	0.6506550535
1	0.6071385642
2	0.5691875101
3	0.5359768626
4	0.5019310197
5	0.4742036069
6	0.4522372559
7	0.4346277143
8	0.4185191202
9	0.4029816545
10	0.387388501
11	0.3764265527
12	0.3662438484
13	0.3564901386
14	0.3468373702
15	0.3386182333
16	0.3325664885
17	0.3271733947
18	0.3221385235
19	0.3147001223
20	0.3094777409
21	0.3043120679
22	0.3006293503
23	0.2969848116
24	0.2933707131
25	0.2893595757
26	0.2866952347
27	0.2852338199
28	0.2836343264
29	0.2814471229
30	0.2797336175
31	0.2778183611
32	0.2759632455
33	0.27327339
34	0.2716552881
35	0.2706452386
36	0.2699936964
37	0.2683101503
38	0.267790816
39	0.2670785215
40	0.2653433619
41	0.2635440523
42	0.2628463336
43	0.2624939093
44	0.2621246504
45	0.2616826551
46	0.2611971664
47	0.2605760075
48	0.2583674273
49	0.2573662178
50	0.256829823
51	0.2562072578
52	0.2554031043
53	0.2543341111
54	0.2537813617
55	0.2530381209
56	0.2524585769
57	0.2521688084
58	0.2516632587
59	0.2512204631
60	0.2503556684
61	0.2495249997
62	0.2491353225
63	0.2482127871
64	0.2475771235
65	0.2466860108
66	0.2459926528
67	0.2451531529
68	0.2447732984
69	0.2444904065
70	0.2439715987
71	0.2435380882
72	0.242670853
73	0.2423760984
74	0.240723384
75	0.240370194
76	0.2401019977
77	0.239512523
78	0.2391845301
79	0.2386915361
80	0.2383690717
81	0.2380686954
82	0.237612796
83	0.2372893839
84	0.23667013
85	0.2357764131
86	0.2351858469
87	0.234957105
88	0.2345516244
89	0.234097188
90	0.2336470075
91	0.2333376958
92	0.2324061217
93	0.2321388185
94	0.231551333
95	0.231193507
96	0.2307204072
97	0.2305590986
98	0.2301557382
99	0.2298246641
100	0.2294342861
101	0.2291542112
102	0.2286802509
103	0.2283893997
104	0.2281027164
105	0.2278786043
106	0.2276224895
107	0.2271683898
108	0.2265546225
109	0.2261655131
110	0.2255871383
111	0.2251733233
112	0.2249253866
113	0.2246478177
114	0.2242838528
115	0.2237455261
116	0.2231985465
117	0.2228320614
118	0.2226785979
119	0.2222176539
120	0.2220044094
121	0.2217664394
122	0.2216699528
123	0.2214210553
124	0.2211505362
125	0.2207004226
126	0.220355858
127	0.2201654402
128	0.2196327684
129	0.219139357
130	0.2186758287
131	0.2182951944
132	0.2181751009
133	0.2178340689
134	0.2174249752
135	0.2171976071
136	0.2169150813
137	0.2165788327
138	0.216021304
139	0.215695963
